"DID #","Survey","First Generation Status","Gender","Transfer Student","Upper v Lower","Race/Ethnicity","Class Level","J_total","T_total","Major","STEM"
71,"Pre","No","Woman","Yes","U","White","Senior",76,47,"Biological Sciences","STEM"
72,"Pre","No","Woman","No","U","African American","Senior",83,49,"Biological Sciences","STEM"
73,"Pre","Yes","Woman","No","L","White","Senior",74,46,"Public Health","Non-STEM"
74,"Pre","Yes","Man","Yes","L","Asian","Senior",72,44,"Biological Sciences","STEM"
75,"Pre","Yes","Man","No","U","Hispanic/Latino","Senior",61,35,"Biological Sciences","STEM"
76,"Pre","Yes","Woman","No","L","White","Sophomore",67,40,"Health Sciences","Non-STEM"
77,"Pre","No","Woman","No","U","Asian","Junior",64,45,"Biological Sciences","STEM"
78,"Pre","No","Woman","Yes","U","White","Senior",74,52,"Kinesiology","Non-STEM"
79,"Pre","No","Woman","Yes","U","Asian","Junior",71,51,"Nutrition","Non-STEM"
80,"Pre","No","Man","No","L","Two or More","Sophomore",75,47,"Health Sciences","Non-STEM"
82,"Pre","Yes","Man","No","U","Hispanic/Latino","Senior",81,44,"Biological Sciences","STEM"
83,"Pre","No","Man","No","L","Two or More","Junior",66,43,"Kinesiology","Non-STEM"
84,"Pre","No","Woman","No","U","Asian","Senior",72,49,"Health Sciences","Non-STEM"
85,"Pre","No","Woman","Yes","L","Asian","Senior",83,45,"Biological Sciences","STEM"
86,"Pre","Yes","Man","No","L","Asian","Junior",56,38,"Public Health","Non-STEM"
87,"Pre","Yes","Woman","No","L","Hispanic/Latino","Sophomore",74,46,"Nursing","Non-STEM"
88,"Pre","No","Man","Yes","L","Asian","Senior",69,47,"Health Sciences","Non-STEM"
89,"Pre","No","Woman","No","L","Two or More","Sophomore",80,51,"Nursing","Non-STEM"
